"seqnames","start","end","width","strand","num_vars"
"chr1",3054233,3054733,501,"*",1
"chr1",3102016,3102125,110,"*",0
"chr1",3205901,3207317,1417,"*",17
"chr1",3213439,3216968,3530,"*",21
"chr1",3421702,3421901,200,"*",1
"chr1",3466587,3466687,101,"*",3
"chr1",3513405,3513553,149,"*",0
"chr1",3670552,3671498,947,"*",5
"chr1",3783876,3783933,58,"*",1
"chr1",4343507,4350091,6585,"*",86
"chr1",4351910,4352081,172,"*",0
"chr1",4352202,4352837,636,"*",2
"chr1",4360200,4360314,115,"*",1
"chr1",4490928,4492668,1741,"*",13
"chr1",4493100,4493490,391,"*",1
"chr1",4493772,4493863,92,"*",4
"chr1",4495136,4495942,807,"*",14
"chr1",4496291,4496413,123,"*",1
"chr1",4529017,4529123,107,"*",3
"chr1",4687934,4689403,1470,"*",44
"chr1",4723277,4723379,103,"*",2
"chr1",4773206,4776801,3596,"*",48
"chr1",4777525,4777648,124,"*",1
"chr1",4781221,4782301,1081,"*",23
"chr1",4782568,4782733,166,"*",0
"chr1",4783572,4784105,534,"*",3
"chr1",4785573,4785739,167,"*",5
"chr1",4807788,4807982,195,"*",0
"chr1",4808237,4808365,129,"*",1
"chr1",4808455,4808486,32,"*",0
"chr1",4828584,4828649,66,"*",0
"chr1",4830268,4830315,48,"*",0
"chr1",4832311,4832381,71,"*",1
"chr1",4836905,4839488,2584,"*",47
"chr1",4840956,4842827,1872,"*",35
"chr1",4844963,4846739,1777,"*",15
"chr1",4846784,4846883,100,"*",1
"chr1",4848140,4848410,271,"*",3
"chr1",4857814,4857976,163,"*",3
"chr1",4858038,4858503,466,"*",8
"chr1",4867470,4867532,63,"*",0
"chr1",4878027,4878132,106,"*",1
"chr1",4879202,4880669,1468,"*",1
"chr1",4886744,4886831,88,"*",0
"chr1",4889457,4889602,146,"*",0
"chr1",4890740,4890796,57,"*",0
"chr1",4891915,4892069,155,"*",1
"chr1",4893417,4893563,147,"*",1
"chr1",4894934,4895005,72,"*",0
"chr1",4896356,4897909,1554,"*",8
"chr1",4909576,4910662,1087,"*",13
"chr1",4912314,4912548,235,"*",1
"chr1",4916897,4916980,84,"*",0
"chr1",4922528,4923989,1462,"*",35
"chr1",4927028,4927299,272,"*",3
"chr1",4970857,4971128,272,"*",3
"chr1",4971632,4971828,197,"*",0
"chr1",4973565,4976820,3256,"*",37
"chr1",5018576,5018735,160,"*",1
"chr1",5019311,5019539,229,"*",0
"chr1",5020738,5021037,300,"*",2
"chr1",5062779,5064647,1869,"*",30
"chr1",5070010,5070285,276,"*",4
"chr1",5083173,5083278,106,"*",4
"chr1",5084417,5084563,147,"*",2
"chr1",5089009,5089111,103,"*",0
"chr1",5093363,5093452,90,"*",0
"chr1",5095615,5095728,114,"*",1
"chr1",5098029,5098133,105,"*",0
"chr1",5101070,5101123,54,"*",0
"chr1",5117390,5117487,98,"*",0
"chr1",5124277,5124469,193,"*",2
"chr1",5133084,5133262,179,"*",1
"chr1",5135812,5135937,126,"*",0
"chr1",5143750,5143851,102,"*",1
"chr1",5149948,5150061,114,"*",0
"chr1",5162105,5162549,445,"*",3
"chr1",5588493,5588663,171,"*",1
"chr1",5588941,5589305,365,"*",3
"chr1",5596518,5598942,2425,"*",30
"chr1",5602252,5606131,3880,"*",43
"chr1",5644645,5644745,101,"*",0
"chr1",5913707,5917398,3692,"*",31
"chr1",6206197,6206270,74,"*",0
"chr1",6213293,6213347,55,"*",1
"chr1",6214233,6214590,358,"*",7
"chr1",6214612,6215292,681,"*",4
"chr1",6223599,6223745,147,"*",2
"chr1",6227940,6228049,110,"*",0
"chr1",6229959,6230704,746,"*",16
"chr1",6233961,6234087,127,"*",1
"chr1",6234229,6234399,171,"*",0
"chr1",6238262,6238464,203,"*",0
"chr1",6239952,6240378,427,"*",1
"chr1",6240970,6244275,3306,"*",42
"chr1",6244795,6244979,185,"*",0
"chr1",6245158,6245344,187,"*",1
"chr1",6245425,6245506,82,"*",0
"chr1",6245598,6245659,62,"*",0
"chr1",6247706,6247809,104,"*",0
"chr1",6248066,6248192,127,"*",2
"chr1",6248276,6250167,1892,"*",6
"chr1",6250931,6251258,328,"*",4
"chr1",6260785,6261095,311,"*",1
"chr1",6262834,6262942,109,"*",0
"chr1",6263024,6263264,241,"*",2
"chr1",6264542,6264893,352,"*",0
"chr1",6265574,6265810,237,"*",1
"chr1",6268698,6268756,59,"*",0
"chr1",6270678,6272771,2094,"*",25
"chr1",6274198,6276648,2451,"*",24
"chr1",6359331,6359514,184,"*",1
"chr1",6388573,6388626,54,"*",0
"chr1",6389440,6389520,81,"*",1
"chr1",6391040,6391116,77,"*",0
"chr1",6394270,6394731,462,"*",9
"chr1",6487231,6487405,175,"*",0
"chr1",6487618,6487741,124,"*",1
"chr1",6730051,6730240,190,"*",1
"chr1",6734870,6734972,103,"*",0
"chr1",6737575,6737657,83,"*",2
"chr1",6752296,6752368,73,"*",0
"chr1",6752967,6753036,70,"*",0
"chr1",6753556,6753602,47,"*",1
"chr1",6768898,6768952,55,"*",0
"chr1",6770944,6770974,31,"*",1
"chr1",6795386,6795576,191,"*",4
"chr1",6802320,6803105,786,"*",6
"chr1",6803574,6803718,145,"*",4
"chr1",6807543,6807677,135,"*",1
"chr1",6809277,6809367,91,"*",0
"chr1",6810574,6810678,105,"*",0
"chr1",6817600,6817796,197,"*",1
"chr1",6819934,6820145,212,"*",1
"chr1",6827776,6828021,246,"*",1
"chr1",6833563,6833678,116,"*",0
"chr1",6842139,6842201,63,"*",1
"chr1",6842873,6842941,69,"*",0
"chr1",6844121,6844183,63,"*",2
"chr1",6844291,6844371,81,"*",0
"chr1",6845568,6845792,225,"*",1
"chr1",6848907,6848995,89,"*",1
"chr1",6855369,6855472,104,"*",0
"chr1",6857300,6857443,144,"*",2
"chr1",6858460,6860940,2481,"*",18
"chr1",7088920,7089216,297,"*",4
"chr1",7120194,7120615,422,"*",1
"chr1",7136199,7136586,388,"*",8
"chr1",7147637,7147739,103,"*",0
"chr1",7154867,7155271,405,"*",1
"chr1",7160085,7161063,979,"*",16
"chr1",7163248,7163371,124,"*",0
"chr1",7166309,7166518,210,"*",0
"chr1",7169515,7173628,4114,"*",41
"chr1",7177739,7179037,1299,"*",1
"chr1",7265803,7265932,130,"*",3
"chr1",7349406,7350390,985,"*",3
"chr1",7351771,7351894,124,"*",0
"chr1",7397718,7397801,84,"*",2
"chr1",8361475,8363633,2159,"*",30
"chr1",8414203,8414313,111,"*",0
"chr1",8445027,8445119,93,"*",0
"chr1",8447980,8448132,153,"*",1
"chr1",8463394,8463465,72,"*",0
"chr1",8465437,8465553,117,"*",2
"chr1",8468426,8468825,400,"*",4
"chr1",8470411,8470520,110,"*",0
"chr1",8554725,8554763,39,"*",0
"chr1",8583205,8583334,130,"*",2
"chr1",8588615,8588724,110,"*",1
"chr1",8595412,8595542,131,"*",2
"chr1",8607070,8607152,83,"*",0
"chr1",8624779,8624881,103,"*",0
"chr1",8675973,8677848,1876,"*",25
"chr1",8677937,8677980,44,"*",0
"chr1",8679073,8679130,58,"*",0
"chr1",8681973,8682029,57,"*",1
